11208 ,11079 ,8846 ,4764 ,9031 ,4807 ,2467 ,1911 ,1959 ,1076 ,1223 ,2236 ,1056 ,927 ,932 ,960 ,615
11214 ,5534 ,9834 ,4316 ,5591 ,587 ,1067 ,1304 ,1035 ,1247 ,532 ,330 ,990 ,1082 ,436 ,922 ,276
11220 ,5729 ,6437 ,4826 ,4365 ,2304 ,1382 ,1814 ,1323 ,1190 ,932 ,910 ,712 ,765 ,738 ,492 ,899
11226 ,16947 ,5700 ,18502 ,5941 ,10122 ,5677 ,1002 ,1197 ,1429 ,1263 ,2807 ,618 ,506 ,1698 ,817 ,663
11232 ,2361 ,2922 ,1417 ,1573 ,1296 ,493 ,1717 ,495 ,495 ,559 ,347 ,286 ,306 ,347 ,361 ,341
11238 ,6714 ,8460 ,3777 ,2161 ,4478 ,1372 ,1027 ,1487 ,1353 ,2336 ,1215 ,752 ,633 ,2325 ,486 ,349
12222 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
10303 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
11203 ,6374 ,3785 ,6084 ,6843 ,2255 ,2407 ,1015 ,1245 ,861 ,570 ,818 ,1072 ,643 ,695 ,1202 ,269
11209 ,4093 ,8680 ,6666 ,3712 ,964 ,1078 ,1505 ,875 ,1320 ,1370 ,617 ,1702 ,850 ,631 ,625 ,308
11215 ,2383 ,6884 ,1757 ,2032 ,1370 ,677 ,1699 ,1898 ,1366 ,1557 ,658 ,1116 ,1197 ,1253 ,879 ,351
11221 ,15823 ,5472 ,4927 ,5429 ,5705 ,2530 ,1396 ,1617 ,1788 ,2479 ,2234 ,693 ,1349 ,2142 ,833 ,994
11233 ,8873 ,5485 ,6442 ,3970 ,4019 ,2675 ,1196 ,1266 ,1232 ,615 ,1208 ,687 ,798 ,1678 ,859 ,462
11239 ,479 ,505 ,618 ,267 ,84 ,313 ,197 ,98 ,24 ,16 ,88 ,83 ,138 ,44 ,43 ,1
