11201,0,
11201,0,0
11201,0,1
11201,1,0
11201,1,1
11201,10,0
11201,2,0
11201,3,0
11201,4,0
11201,5,0
11201,6,0
11201,7,0
11203,0,0
11203,0,1
11203,1,0
11203,1,1
11203,1,2
11203,10,0
11203,11,0
11203,12,0
11203,13,0
11203,2,0
11203,2,1
11203,24,0
11203,3,0
11203,4,0
11203,4,1
11203,5,0
11203,6,0
11203,7,0
11203,8,0
11203,9,0
11204,0,0
11204,0,1
11204,1,0
11204,1,1
11204,2,0
11204,2,1
11204,3,0
11204,3,1
11204,4,0
11204,5,0
11204,6,0
11204,7,0
11204,8,0
11205,0,0
11205,0,1
11205,1,0
11205,1,1
11205,2,0
11205,3,0
11205,3,1
11205,4,0
11205,5,0
11205,6,0
11205,8,0
11205,9,0
11206,0,0
11206,0,1
11206,1,
11206,1,0
11206,11,0
11206,11,1
11206,2,0
11206,2,1
11206,3,0
11206,4,0
11206,5,0
11206,6,0
11206,7,0
11206,8,0
11207,,
11207,0,0
11207,0,1
11207,0,2
11207,1,0
11207,1,1
11207,10,0
11207,10,1
11207,14,0
11207,18,0
11207,2,0
11207,2,1
11207,3,0
11207,3,1
11207,4,0
11207,5,0
11207,6,0
11207,6,1
11207,7,0
11207,8,0
11207,9,0
11208,0,0
11208,0,1
11208,0,2
11208,1,0
11208,1,1
11208,10,0
11208,19,0
11208,2,0
11208,2,1
11208,3,0
11208,4,0
11208,5,0
11208,6,0
11208,7,0
11208,8,0
11208,9,0
11209,0,0
11209,0,1
11209,1,0
11209,2,0
11209,3,0
11209,4,0
11209,5,0
11210,0,0
11210,0,1
11210,1,0
11210,1,1
11210,2,0
11210,3,0
11210,4,0
11210,5,0
11210,6,0
11210,7,0
11210,8,0
11210,9,0
11211,0,0
11211,0,1
11211,1,0
11211,1,1
11211,10,0
11211,2,0
11211,3,0
11211,4,0
11211,5,0
11211,6,0
11211,7,0
11211,8,0
11212,0,0
11212,0,1
11212,1,0
11212,1,1
11212,10,0
11212,2,0
11212,2,1
11212,3,0
11212,3,1
11212,4,0
11212,5,0
11212,6,0
11212,7,0
11212,7,1
11212,8,0
11212,9,0
11213,0,0
11213,0,1
11213,1,0
11213,1,1
11213,10,0
11213,2,0
11213,2,1
11213,3,0
11213,4,0
11213,43,0
11213,5,0
11213,6,0
11213,7,0
11213,8,0
11213,9,0
11214,0,0
11214,0,1
11214,1,0
11214,1,1
11214,11,0
11214,2,0
11214,2,1
11214,3,0
11214,4,0
11214,5,0
11214,6,0
11214,7,0
11214,8,0
11215,0,0
11215,0,1
11215,1,0
11215,1,1
11215,10,0
11215,2,0
11215,3,0
11215,4,0
11215,4,2
11215,5,0
11215,6,0
11215,7,0
11215,8,0
11216,0,0
11216,0,1
11216,1,0
11216,1,1
11216,10,0
11216,11,0
11216,2,0
11216,2,1
11216,3,0
